,City,Country,Date,Lat,Lng,Humidity,Cloudiness,Max Temp,Wind Speed
83,belaya gora,RU,2020-05-15,68.53,146.42,70,96,280.32,2.7
84,blairmore,CA,2020-05-15,49.6,-114.44,87,90,281.48,2.6
85,mandalgovi,MN,2020-05-15,45.76,106.27,42,30,284.44,11.65
86,kirkuk,IQ,2020-05-15,35.47,44.39,21,0,303.91,4.99
87,port alfred,ZA,2020-05-15,-33.59,26.89,66,56,289.26,4.09
88,dakar,SN,2020-05-15,14.69,-17.44,94,0,294.15,3.1
89,kyakhta,RU,2020-05-15,50.35,106.45,86,100,275.57,8.17
90,provideniya,RU,2020-05-15,64.38,-173.3,60,64,279.15,7.0
91,maceio,BR,2020-05-15,-9.67,-35.74,94,40,298.15,1.5
92,alta floresta,BR,2020-05-15,-9.88,-56.09,97,100,294.31,1.15
93,lorengau,PG,2020-05-15,-2.02,147.27,77,92,302.32,5.98
94,maldonado,UY,2020-05-15,-34.67,-54.92,93,37,278.15,2.1
95,lagoa,PT,2020-05-15,39.05,-27.98,96,92,289.94,4.94
96,butterworth,MY,2020-05-15,5.4,100.36,75,20,305.15,4.1
97,faanui,PF,2020-05-15,-16.48,-151.75,73,13,300.86,4.1
98,hobart,AU,2020-05-15,-42.88,147.33,55,20,289.26,4.1
99,bluff,NZ,2020-05-15,-46.6,168.33,73,1,283.13,2.53
100,souillac,MU,2020-05-15,-20.52,57.52,73,20,298.15,3.1
101,misratah,LY,2020-05-15,32.38,15.09,19,0,302.1,7.91
102,moratuwa,LK,2020-05-15,6.77,79.88,100,40,300.15,1.5
103,kodiak,US,2020-05-15,57.79,-152.41,61,90,282.15,5.7
104,filadelfia,US,2020-05-15,39.95,-75.16,72,90,290.93,3.6
105,padang,ID,2020-05-15,-0.95,100.35,61,91,304.04,1.49
106,busselton,AU,2020-05-15,-33.65,115.33,50,48,294.26,6.34
107,grenfell,AU,2020-05-15,-33.9,148.17,52,0,288.06,2.31
108,laje,BR,2020-05-15,-10.18,-40.97,91,92,293.74,2.43
109,gizo,SB,2020-05-15,-8.1,156.84,69,20,302.48,1.05
110,ponta do sol,PT,2020-05-15,32.67,-17.1,67,40,290.15,7.2
111,nikolskoye,RU,2020-05-15,59.7,30.79,59,49,280.37,3.0
112,geraldton,AU,2020-05-15,-28.77,114.6,18,0,300.15,5.7
113,baykit,RU,2020-05-15,61.67,96.37,41,52,284.72,2.26
114,klyuchi,RU,2020-05-15,52.27,79.17,27,80,302.95,6.6
