,City,Country,Date,Lat,Lng,Humidity,Cloudiness,Max Temp,Wind Speed
365,narsaq,GL,2020-05-15,60.92,-46.05,31,94,283.15,6.7
366,tianpeng,CN,2020-05-15,30.99,103.94,1,95,305.37,2.56
367,shakawe,BW,2020-05-15,-18.37,21.85,36,0,287.27,2.11
368,sambava,MG,2020-05-15,-14.27,50.17,67,1,299.36,1.63
369,barrow,US,2020-05-15,71.29,-156.79,92,90,268.15,5.7
370,pucallpa,PE,2020-05-15,-8.38,-74.55,95,1,295.71,0.31
371,tessalit,ML,2020-05-15,20.2,1.01,21,4,301.69,3.66
372,areka,ET,2020-05-15,7.07,37.7,74,7,293.91,1.12
373,tres arroyos,AR,2020-05-15,-38.37,-60.28,56,100,285.14,8.88
374,berdigestyakh,RU,2020-05-15,62.1,126.7,44,31,287.37,4.93
375,chumikan,RU,2020-05-15,54.72,135.31,94,100,273.98,6.51
376,sitio novo do tocantins,BR,2020-05-15,-5.52,-47.46,88,20,299.15,0.67
377,mandal,IN,2020-05-15,25.45,74.57,15,0,311.89,3.1
378,moree,AU,2020-05-15,-29.47,149.85,35,75,295.15,2.97
379,sehithwa,BW,2020-05-15,-20.47,22.72,50,0,287.73,2.73
380,almeirim,BR,2020-05-15,-1.52,-52.58,96,82,296.44,0.92
381,robat karim,IR,2020-05-15,35.48,51.08,37,0,293.15,3.1
382,barinitas,VE,2020-05-15,8.76,-70.41,86,90,294.65,1.26
383,athabasca,CA,2020-05-15,54.72,-113.29,75,21,274.24,1.84
384,morant bay,JM,2020-05-15,17.88,-76.41,74,20,301.15,6.7
385,poum,NC,2020-05-15,-20.23,164.02,70,17,296.75,3.83
386,puerto del rosario,ES,2020-05-15,28.5,-13.86,59,20,292.15,5.1
387,rafai,CF,2020-05-15,4.95,23.92,98,100,294.78,2.46
388,ponta delgada,PT,2020-05-15,37.73,-25.67,81,20,285.15,1.5
389,tuatapere,NZ,2020-05-15,-46.13,167.68,77,1,281.37,1.42
390,tromso,NO,2020-05-15,69.65,18.96,96,90,273.15,6.7
391,lazarev,RU,2020-05-15,52.23,141.51,97,100,275.78,7.98
392,luderitz,NA,2020-05-15,-26.65,15.16,100,0,284.15,2.1
393,tura,IN,2020-05-15,25.52,90.22,36,5,307.84,2.52
394,kawalu,ID,2020-05-15,-7.38,108.21,67,86,302.08,2.46
395,baghdad,IQ,2020-05-15,33.34,44.4,30,16,302.15,4.6
396,ilhabela,BR,2020-05-15,-23.78,-45.36,84,100,292.96,3.05
397,sivaki,RU,2020-05-15,52.63,126.75,32,56,289.09,2.74
398,jamame,SO,2020-05-15,0.07,42.75,73,37,302.57,4.46
399,whitianga,NZ,2020-05-15,-36.83,175.7,76,100,288.15,0.89
400,tulum,MX,2020-05-15,20.22,-87.47,91,2,298.0,2.15
401,eyl,SO,2020-05-15,7.98,49.82,56,62,305.22,7.9
402,vanimo,PG,2020-05-15,-2.67,141.3,67,36,303.11,3.19
403,hofn,IS,2020-05-15,64.25,-15.21,68,53,276.78,6.49
404,avera,US,2020-05-15,33.19,-82.53,100,1,291.15,2.1
405,los llanos de aridane,ES,2020-05-15,28.66,-17.92,52,20,291.15,3.1
406,cayenne,GF,2020-05-15,4.93,-52.33,100,100,298.15,4.34
407,inta,RU,2020-05-15,66.03,60.17,98,100,273.77,5.92
408,vardo,NO,2020-05-15,70.37,31.11,86,75,274.15,14.4
409,isiolo,KE,2020-05-15,0.35,37.58,61,58,296.91,1.99
410,ouegoa,NC,2020-05-15,-20.35,164.43,64,38,296.39,0.18
411,cabo san lucas,MX,2020-05-15,22.89,-109.91,41,0,296.48,7.42
412,kuito,AO,2020-05-15,-12.38,16.93,61,0,286.25,1.33
413,bac lieu,VN,2020-05-15,9.29,105.72,53,12,306.4,5.42
414,ntcheu,MW,2020-05-15,-14.82,34.64,50,0,291.26,4.05
415,thinadhoo,MV,2020-05-15,0.53,72.93,79,100,301.83,15.53
416,thanh hoa,VN,2020-05-15,19.8,105.77,55,10,307.82,5.02
417,umm kaddadah,SD,2020-05-15,13.6,26.69,9,11,305.78,6.26
418,sabancuy,MX,2020-05-15,18.97,-91.18,84,39,300.36,3.17
419,santa cruz,BO,2020-05-15,-17.8,-63.17,72,90,292.15,3.6
420,redwater,US,2020-05-15,33.36,-94.25,83,1,295.15,6.2
421,mnogovershinnyy,RU,2020-05-15,53.94,139.92,96,100,278.8,1.97
422,gunjur,GM,2020-05-15,13.2,-16.73,81,4,294.68,3.68
423,yauya,PE,2020-05-15,-8.98,-77.3,81,73,281.42,1.14
424,asfi,MA,2020-05-15,32.3,-9.24,78,86,290.39,7.47
425,san dionisio del mar,MX,2020-05-15,16.33,-94.75,75,32,302.18,2.83
426,edd,ER,2020-05-15,13.93,41.69,29,35,309.39,3.56
427,tigil,RU,2020-05-15,57.8,158.67,55,76,282.07,6.41
428,asmara,ER,2020-05-15,15.33,38.93,38,36,296.3,0.82
429,abu samrah,SY,2020-05-15,35.3,37.18,23,0,301.46,1.65
430,amapa,BR,2020-05-15,1.0,-52.0,99,100,294.83,0.83
431,morgan city,US,2020-05-15,29.7,-91.21,94,90,294.15,4.6
432,half moon bay,US,2020-05-15,37.46,-122.43,93,90,289.15,2.1
433,praya,CV,2020-05-15,14.92,-23.51,78,20,295.15,9.8
434,san felipe,VE,2020-05-15,10.34,-68.74,92,82,295.32,0.56
435,mackay,AU,2020-05-15,-21.15,149.2,69,13,298.15,8.2
436,saryozek,KZ,2020-05-15,44.36,77.98,66,100,287.97,1.37
437,sibut,CF,2020-05-15,5.72,19.07,88,92,297.03,3.05
438,guaruja,BR,2020-05-15,-23.99,-46.26,93,90,289.15,5.1
439,ndola,ZM,2020-05-15,-12.96,28.64,53,0,290.54,3.6
440,narasannapeta,IN,2020-05-15,18.42,84.05,43,11,308.48,4.26
441,yantzaza,EC,2020-05-15,-3.83,-78.76,84,29,292.17,0.47
442,aranos,NA,2020-05-15,-24.13,19.12,34,0,288.15,4.76
443,yuancheng,CN,2020-05-15,36.65,107.79,16,29,300.32,3.88
444,imbituba,BR,2020-05-15,-28.24,-48.67,76,0,286.15,2.6
445,syumsi,RU,2020-05-15,57.11,51.61,46,91,286.11,3.79
446,prokopion,GR,2020-05-15,38.73,23.48,60,20,297.04,0.54
447,belchatow,PL,2020-05-15,51.37,19.36,88,13,282.04,25.03
448,sfantu gheorghe,RO,2020-05-15,45.87,25.78,70,100,287.59,1.79
449,bull savanna,JM,2020-05-15,17.89,-77.59,88,12,297.19,4.19
450,aswan,EG,2020-05-15,24.09,32.91,16,40,308.69,5.48
451,marzuq,YE,2020-05-15,14.4,46.47,18,1,304.12,1.87
452,agadez,NE,2020-05-15,19.75,10.25,11,0,301.21,2.74
453,tra vinh,VN,2020-05-15,9.93,106.35,47,45,307.89,3.94
454,el rosario,MX,2020-05-15,24.26,-107.18,94,0,294.26,0.45
455,tigzirt,DZ,2020-05-15,36.89,4.12,63,48,290.85,3.11
456,goderich,CA,2020-05-15,43.75,-81.72,95,98,287.59,0.45
457,chokurdakh,RU,2020-05-15,70.63,147.92,97,98,271.72,4.12
458,shimoda,JP,2020-05-15,34.67,138.95,64,75,296.48,7.2
459,muros,ES,2020-05-15,42.78,-9.06,81,94,287.04,2.24
460,niquero,CU,2020-05-15,20.04,-77.58,79,4,298.98,4.64
461,conceicao da barra,BR,2020-05-15,-18.59,-39.73,96,3,294.1,1.79
462,aksarka,RU,2020-05-15,66.56,67.8,70,100,279.66,8.35
463,waddan,LY,2020-05-15,29.16,16.14,13,0,303.24,4.06
464,bacungan,PH,2020-05-15,9.91,118.7,59,20,307.15,5.1
465,kopayhorod,UA,2020-05-15,48.86,27.8,63,81,283.71,0.89
466,san carlos,VE,2020-05-15,9.66,-68.58,88,98,297.14,1.03
467,labuhan,ID,2020-05-15,-6.88,112.21,67,96,303.4,2.52
468,nome,US,2020-05-15,64.5,-165.41,32,1,286.15,4.6
469,buenos aires,AR,2020-05-15,-34.61,-58.38,76,18,285.93,4.6
470,marseille,FR,2020-05-15,43.33,5.5,87,75,288.71,1.5
471,havelock,US,2020-05-15,34.88,-76.9,90,8,293.71,3.88
472,tamiahua,MX,2020-05-15,21.27,-97.45,94,3,299.13,2.38
473,bouca,CF,2020-05-15,6.51,18.27,77,85,298.52,3.26
474,zyryanovsk,KZ,2020-05-15,49.74,84.27,34,12,299.57,1.18
475,okrika,NG,2020-05-15,4.74,7.08,85,99,299.94,0.82
476,hamilton,US,2020-05-15,39.18,-84.53,56,75,294.15,3.6
477,dongsheng,CN,2020-05-15,39.82,109.98,16,96,298.51,9.02
478,natalio,PY,2020-05-15,-26.72,-55.08,92,0,280.31,0.79
479,kodinsk,RU,2020-05-15,58.69,99.18,40,55,284.78,1.74
480,tamandare,BR,2020-05-15,-8.76,-35.1,87,20,298.61,3.22
481,george,ZA,2020-05-15,-33.96,22.46,76,20,287.15,5.7
482,victor harbor,AU,2020-05-15,-35.57,138.62,66,0,287.04,1.54
483,plainview,US,2020-05-15,40.78,-73.47,82,90,287.59,2.6
484,nanga eboko,CM,2020-05-15,4.68,12.37,98,100,294.93,0.77
485,bayshore gardens,US,2020-05-15,27.43,-82.59,78,1,295.37,3.6
486,raton,US,2020-05-15,36.9,-104.44,29,1,290.15,7.7
487,broome,US,2020-05-15,42.25,-75.83,93,90,286.48,3.1
488,prado,BR,2020-05-15,-17.34,-39.22,94,37,295.49,1.95
489,rakovski,BG,2020-05-15,42.3,24.97,82,75,294.26,1.0
490,ornskoldsvik,SE,2020-05-15,63.29,18.72,59,0,275.15,6.2
491,grand-santi,GF,2020-05-15,4.25,-54.38,97,100,295.44,0.48
492,malakal,SS,2020-05-15,9.53,31.66,54,27,303.09,3.4
493,port hedland,AU,2020-05-15,-20.32,118.57,20,50,303.15,5.7
494,itoman,JP,2020-05-15,26.12,127.67,79,40,302.15,7.7
495,suntar,RU,2020-05-15,62.14,117.63,60,100,284.37,4.17
496,randazzo,IT,2020-05-15,37.88,14.95,45,99,296.48,0.43
497,big rapids,US,2020-05-15,43.7,-85.48,93,90,287.15,2.1
498,flinders,AU,2020-05-15,-34.58,150.86,68,78,289.26,2.24
499,ludvika,SE,2020-05-15,60.15,15.19,64,49,278.15,2.32
500,puri,IN,2020-05-15,19.8,85.85,47,20,308.15,5.7
501,merauke,ID,2020-05-15,-8.47,140.33,77,40,302.27,6.14
502,seka,TH,2020-05-15,17.93,103.96,42,8,312.04,2.96
503,college,US,2020-05-15,64.86,-147.8,22,75,286.15,5.7
504,nicoya,CR,2020-05-15,10.15,-85.45,86,32,295.37,4.92
505,gayeri,BF,2020-05-15,12.65,0.49,40,10,305.55,5.29
506,straumen,NO,2020-05-15,63.87,11.3,80,75,275.93,5.7
507,san alberto,CO,2020-05-15,7.76,-73.39,79,97,297.8,1.22
508,leningradskiy,RU,2020-05-15,69.38,178.42,96,17,271.83,0.53
509,dunedin,NZ,2020-05-15,-45.87,170.5,73,32,283.71,3.3
510,emerald,AU,2020-05-15,-23.53,148.17,28,82,300.15,3.1
511,houlton,US,2020-05-15,46.13,-67.84,80,1,273.71,0.79
512,nanhai,CN,2020-05-15,30.13,111.78,66,100,299.27,2.43
513,aykhal,RU,2020-05-15,66.0,111.5,60,90,277.15,5.0
514,san policarpo,PH,2020-05-15,12.18,125.51,78,100,302.58,7.24
515,nueva loja,EC,2020-05-15,0.08,-76.88,96,71,294.43,0.9
516,krishnarajasagara,IN,2020-05-15,12.41,76.58,58,40,303.15,1.5
517,vygonichi,RU,2020-05-15,53.1,34.07,65,3,281.15,6.0
518,buchanan,LR,2020-05-15,5.88,-10.05,94,75,298.15,2.1
519,taoudenni,ML,2020-05-15,22.68,-3.98,15,0,300.23,3.53
520,roma,US,2020-05-15,43.21,-75.46,93,90,285.37,2.6
521,camacha,PT,2020-05-15,33.08,-16.33,67,40,290.15,10.8
522,taksimo,RU,2020-05-15,56.34,114.88,43,65,283.87,1.13
523,baie-comeau,CA,2020-05-15,49.22,-68.15,59,1,274.15,2.6
524,mandurah,AU,2020-05-15,-32.55,115.7,67,0,295.93,3.66
525,berlevag,NO,2020-05-15,70.86,29.09,83,40,275.15,17.5
526,springbok,ZA,2020-05-15,-29.66,17.89,52,0,281.53,0.67
527,bhatkal,IN,2020-05-15,13.97,74.57,64,100,305.77,2.96
528,benguela,AO,2020-05-15,-12.58,13.41,76,0,298.04,1.14
529,beloha,MG,2020-05-15,-25.17,45.05,62,0,294.41,2.28
530,leshukonskoye,RU,2020-05-15,64.9,45.76,90,98,277.15,4.62
531,burnie,AU,2020-05-15,-41.07,145.92,71,54,286.48,3.13
532,portmore,JM,2020-05-15,17.97,-76.87,74,20,301.15,6.7
533,valparaiso,CL,2020-05-15,-33.04,-71.63,51,0,289.15,4.82
534,hay river,CA,2020-05-15,60.82,-115.8,68,75,271.15,1.0
535,yima,CN,2020-05-15,34.74,111.88,99,17,309.26,3.87
536,quelimane,MZ,2020-05-15,-17.88,36.89,83,40,295.15,3.6
537,lavrentiya,RU,2020-05-15,65.58,-171.0,96,0,272.98,3.97
538,adrar,MR,2020-05-15,20.5,-10.07,19,0,297.33,4.29
539,kuznetsk,RU,2020-05-15,53.12,46.6,80,100,282.05,7.33
540,le port,RE,2020-05-15,-20.94,55.29,65,90,300.15,3.1
541,dire,ML,2020-05-15,12.28,-10.97,59,99,301.65,1.1
542,sherlovaya gora,RU,2020-05-15,50.57,116.25,21,79,297.71,11.23
543,marsa matruh,EG,2020-05-15,31.35,27.25,77,75,293.15,2.6
544,ati,TD,2020-05-15,13.22,18.34,11,94,305.31,6.42
545,campo de criptana,ES,2020-05-15,39.4,-3.12,93,61,280.37,0.45
546,zima,RU,2020-05-15,53.92,102.04,45,90,282.91,6.13
547,juneau,US,2020-05-15,58.3,-134.42,81,90,285.37,5.1
548,lashio,MM,2020-05-15,22.93,97.75,37,73,304.26,1.54
549,rasulabad,IN,2020-05-15,26.75,80.48,50,0,308.15,4.47
550,ola,RU,2020-05-15,59.58,151.28,72,67,278.37,3.52
551,nantucket,US,2020-05-15,41.28,-70.1,81,90,284.82,4.6
552,palia kalan,IN,2020-05-15,28.45,80.58,17,0,314.34,1.53
553,tokur,RU,2020-05-15,53.13,132.9,46,75,283.81,4.55
554,kyrksaeterora,NO,2020-05-15,63.29,9.09,87,40,275.37,7.7
555,appleton,US,2020-05-15,44.26,-88.42,87,1,286.48,1.42
556,cocobeach,GA,2020-05-15,1.0,9.58,94,40,300.15,2.1
557,kostomuksha,RU,2020-05-15,64.57,30.58,67,18,277.2,4.5
558,frankfort,ZA,2020-05-15,-27.27,28.48,47,0,282.27,1.96
559,banda aceh,ID,2020-05-15,5.56,95.32,69,79,303.65,1.62
560,banjar,ID,2020-05-15,-8.19,114.97,84,20,303.15,7.2
561,mogadishu,SO,2020-05-15,2.04,45.34,70,40,302.15,5.1
562,calmar,CA,2020-05-15,53.27,-113.82,48,75,278.15,4.1
563,ambon,ID,2020-05-15,-3.7,128.18,62,40,305.15,2.6
564,bouna,CI,2020-05-15,9.27,-3.0,90,74,297.29,2.9
565,agadir,MA,2020-05-15,30.42,-9.6,93,75,288.15,3.6
566,ancud,CL,2020-05-15,-41.87,-73.82,100,90,288.15,7.7
567,taunggyi,MM,2020-05-15,20.78,97.03,31,21,302.88,3.48
